,created_at,noof_keywords,COVID,MacBook,iPhone,iPad,TikTok,Watch,Glass,AirPods,Google,Microsoft,Facebook,President,Android,AppleTV,day_opening,units_traded
0,2020-08-03,12,1,0,3,0,1,2,0,1,1,0,1,1,1,1,0.0,0.8427558425993741
1,2020-08-04,19,0,1,8,3,3,1,0,3,4,1,0,1,1,2,0.04549349255927517,0.2806361941540715
2,2020-08-05,17,0,3,6,3,3,3,0,0,1,1,0,1,0,0,0.0574463053355657,0.06807377322058726
3,2020-08-06,14,0,4,1,0,1,4,0,0,1,3,0,1,0,1,0.10757419289842612,0.4028031160529995
4,2020-08-07,14,0,1,7,1,1,0,1,0,0,3,0,0,1,0,0.2441763805557244,0.38359577868033823
5,2020-08-10,18,2,0,4,1,7,1,0,0,0,3,2,2,0,0,0.21466042379075856,0.44431220454091486
6,2020-08-11,14,1,2,4,0,1,3,0,3,1,0,0,0,0,0,0.18392509866143406,0.3423530195086224
7,2020-08-12,16,1,2,3,1,0,3,0,3,1,0,1,0,0,2,0.1120868779225372,0.2509787602370331
8,2020-08-13,15,0,1,5,4,2,3,0,2,3,1,1,0,0,1,0.3039397004439197,0.43465110859577866
9,2020-08-14,10,0,0,4,2,0,2,0,1,2,1,1,0,1,1,0.32345435095186664,0.24939909448032493
10,2020-08-17,18,0,1,5,3,2,3,0,0,3,0,2,1,2,1,0.3835835569683568,0.05795991743791198
11,2020-08-18,10,1,1,3,2,0,2,0,0,1,0,0,0,0,2,0.3001587876763983,0.0
12,2020-08-19,7,0,2,0,2,1,1,1,0,1,0,0,0,0,0,0.3796805561264243,0.16605799320860243
13,2020-08-20,12,1,0,3,3,0,0,1,0,4,0,0,0,2,1,0.3683377934306371,0.08852786470470737
14,2020-08-21,15,0,2,5,4,0,3,1,1,0,0,0,0,0,2,0.5397000292352759,0.9671965510353552
15,2020-08-24,16,0,3,6,1,1,5,0,2,0,0,0,0,0,1,1.0,1.0
16,2020-08-25,7,1,2,2,0,1,1,0,1,0,0,0,0,0,1,0.8048546048121238,0.4405336573673347
17,2020-08-26,15,0,3,7,4,0,1,2,1,0,0,0,0,0,0,0.8771804094621789,0.2388174978360743
18,2020-08-27,17,1,1,3,7,0,1,0,1,1,1,1,0,0,2,0.9241374343380212,0.20773187296091616
19,2020-08-28,18,0,2,2,5,3,2,1,3,1,2,0,0,0,1,0.8690085216500206,0.33922864371795725
20,2020-08-31,14,1,2,5,2,1,1,0,0,0,1,2,0,1,1,,
