Date,Open,High,Low,Close,Adj Close,Volume
8/3/2020,432.799988,446.549988,431.570007,435.75,434.965759,77037800
8/4/2020,436.529999,443.160004,433.549988,438.660004,437.870514,43267900
8/5/2020,437.51001,441.570007,435.589996,440.25,439.457642,30498000
8/6/2020,441.619995,457.649994,439.190002,455.609985,454.790009,50607200
8/7/2020,452.820007,454.700012,441.170013,444.450012,444.450012,49453300
8/10/2020,450.399994,455.100006,440,450.910004,450.910004,53100900
8/11/2020,447.880005,449.929993,436.429993,437.5,437.5,46975600
8/12/2020,441.98999,453.100006,441.190002,452.040009,452.040009,41486200
8/13/2020,457.720001,464.170013,455.709991,460.040009,460.040009,52520500
8/14/2020,459.320007,460,452.179993,459.630005,459.630005,41391300
8/17/2020,464.25,464.350006,455.850006,458.429993,458.429993,29890400
8/18/2020,457.410004,464,456.029999,462.25,462.25,26408400
8/19/2020,463.929993,468.649994,462.440002,462.829987,462.829987,36384500
8/20/2020,463,473.570007,462.929993,473.100006,473.100006,31726800
8/21/2020,477.049988,499.470001,477,497.480011,497.480011,84513700
8/24/2020,514.789978,515.140015,495.75,503.429993,503.429993,86484400
8/25/2020,498.790009,500.720001,492.209991,499.299988,499.299988,52873900
8/26/2020,504.720001,507.970001,500.329987,506.089996,506.089996,40755600
8/27/2020,508.570007,509.940002,495.329987,500.040009,500.040009,38888100
8/28/2020,504.049988,505.769989,498.309998,499.230011,499.230011,46787900
